SID,Full_Date,agreeableness_Compassion,agreeableness_Respectfulness,agreeableness_Trust,conscientiousness_Organization,conscientiousness_Productiveness,conscientiousness_Responsibility,extraversion_Assertiveness,extraversion_Energy Level,extraversion_Sociability,neuroticism_Anxiety,neuroticism_Depression,neuroticism_Emotional Volatility,openness_Aesthetic Sensitivity,openness_Creative Imagination,openness_Intellectual Curiosity,all_beeps
01,2018-10-24 11:44,2,5,NA,NA,3,NA,NA,1.5,NA,4,3,NA,4,NA,4,15
01,2018-10-24 15:37,2,NA,2,4,NA,1,4,NA,5,4,3,4,4.5,NA,NA,16
01,2018-10-24 20:46,NA,NA,3,NA,2,2,NA,3,NA,4,3,3.5,4,NA,3,17
01,2018-10-24 23:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18
01,2018-10-25 7:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19
01,2018-10-25 11:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20
01,2018-10-25 15:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21
01,2018-10-25 21:07,3.5,NA,NA,1.5,NA,NA,2,4,NA,3.5,3,NA,NA,3,NA,22
01,2018-10-25 22:54,5,4,NA,4,NA,2,4,NA,4,3.3333333333333335,5,NA,3,NA,NA,23
01,2018-10-25 23:47,NA,4,3,3,NA,NA,NA,5,NA,4,2,2,5,NA,4,24
01,2018-10-26 3:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25
01,2018-10-26 7:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26
01,2018-10-26 8:44,4,4,NA,NA,NA,3,NA,4,NA,3.5,2,2,2,4,NA,27
01,2018-10-26 11:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28
01,2018-10-26 15:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29
01,2018-10-26 19:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30
01,2018-10-26 23:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31
01,2018-10-27 7:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32
01,2018-10-27 11:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33
01,2018-10-27 16:46,3,5,NA,4,NA,4,4,NA,4,2,2,4,3.5,NA,NA,34
01,2018-10-27 22:55,4,4,NA,5,5,NA,4,5,NA,3,2,NA,NA,3,NA,35
01,2018-10-27 23:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36
01,2018-10-28 3:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37
01,2018-10-28 3:40,4,4,NA,NA,4,NA,NA,4,4,2,4,4,5,NA,4,38
01,2018-10-28 7:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39
01,2018-10-28 11:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40
01,2018-10-28 17:40,3.6666666666666665,NA,NA,2.5,NA,NA,NA,5,4,4,2,NA,1,4,NA,41
01,2018-10-28 19:29,4,NA,NA,4,NA,2,NA,4,4,2,3,NA,5,4,NA,42
01,2018-10-28 23:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43
01,2018-10-29 7:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44
01,2018-10-29 11:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45
01,2018-10-29 15:22,4,NA,3,4,NA,2,4,NA,NA,4,4,4,NA,4,NA,46
01,2018-10-29 19:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47
01,2018-10-29 23:07,2,NA,3,NA,NA,2.5,NA,5,4,4,1.5,NA,5,NA,4,48
01,2018-10-30 3:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49
01,2018-10-30 4:22,2,4,NA,1,2,NA,NA,3,NA,4,4,5,NA,2,NA,50
01,2018-10-30 7:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51
01,2018-10-30 11:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52
01,2018-10-30 14:55,NA,NA,3,NA,2,NA,4,4,NA,4,3,2,NA,NA,4,53
01,2018-10-30 15:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54
01,2018-10-30 20:44,NA,4,3,4,NA,NA,4,2,NA,4,2,NA,4,4,NA,55
01,2018-10-30 23:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56
01,2018-10-31 7:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57
01,2018-10-31 8:57,NA,4,4,NA,1,2,NA,NA,4,3.5,2,2,4,NA,NA,58
01,2018-10-31 11:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59
01,2018-10-31 12:18,NA,5,NA,NA,4,4,4,NA,3,2.6666666666666665,2,NA,2,3,NA,60
01,2018-10-31 15:18,2,4,NA,4,NA,4,2,4,NA,4,4,4,4,NA,4,61
01,2018-10-31 19:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62
01,2018-10-31 23:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63
01,2018-11-01 7:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64
01,2018-11-01 11:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65
01,2018-11-01 13:11,4,NA,3,NA,3,3,4,4,NA,3,3,4,4,NA,4,66
01,2018-11-01 13:05,NA,3,3,3,NA,2,NA,NA,3,4,3,3,4,NA,4,67
01,2018-11-01 15:01,NA,4,3,2,NA,4,NA,4,4,3,2,NA,4,NA,NA,68
01,2018-11-01 19:06,NA,4,3,4,2,NA,2,4,NA,4,4,4,4,4,NA,69
01,2018-11-01 23:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70
01,2018-11-02 4:28,3,NA,3,NA,2,5,3,3,NA,3,3,3,3,NA,NA,71
01,2018-11-02 7:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72
01,2018-11-02 11:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73
01,2018-11-02 13:07,4,3,NA,NA,2,NA,NA,2,2,4,4,3,NA,NA,2.5,74
01,2018-11-02 16:39,4,NA,4,4,NA,3,NA,3,NA,3,3.5,NA,2,NA,4,75
01,2018-11-02 19:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76
01,2018-11-02 23:01,NA,2,4,NA,2,4,4,4,NA,4,4,4,4,4,NA,77
01,2018-11-02 23:08,NA,NA,4,2,4,NA,4,4,NA,2,2,3.5,4,NA,NA,78
01,2018-11-03 4:56,NA,NA,3.5,2,NA,2,2,NA,3,4,4,4,2,2,NA,79
01,2018-11-03 7:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80
01,2018-11-03 11:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81
01,2018-11-03 16:34,NA,3,2,NA,3,NA,NA,2,4,3,2,2,4,NA,5,82
01,2018-11-03 19:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83
01,2018-11-03 23:01,3,NA,1,NA,3,3,NA,4,1,3,3,3,3,3,NA,84
01,2018-11-03 23:02,NA,3,2,1,NA,4,3,NA,NA,2,3,2,NA,NA,4,85
01,2018-11-04 3:01,3,NA,NA,NA,4,3,2,NA,1,4,3,3,4,NA,3,86
01,2018-11-04 7:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87
01,2018-11-04 11:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88
01,2018-11-04 15:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89
01,2018-11-04 19:02,NA,NA,3,3,3,NA,NA,4,3,4,4,3,NA,4,NA,90
01,2018-11-04 23:01,NA,NA,2.5,2,4,NA,NA,NA,2.5,5,2.5,4,2.5,NA,NA,91
01,2018-11-04 23:03,3,NA,2,4,2,NA,4,2,NA,4,3,2,4,4,NA,92
01,2018-11-05 7:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93
01,2018-11-05 11:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94
01,2018-11-05 15:04,NA,4,3,2,NA,4,4,4,NA,2,2,2,NA,NA,3,95
01,2018-11-05 15:06,NA,NA,3.5,2,2,NA,2,2,NA,3.5,3,NA,NA,5,4,96
01,2018-11-05 19:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97
01,2018-11-05 23:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98
01,2018-11-06 3:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99
01,2018-11-06 7:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100
01,2018-11-06 11:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101
01,2018-11-06 15:22,3,NA,NA,NA,2,3,NA,3,NA,3,3,3,3,NA,NA,102
01,2018-11-06 15:25,3,NA,3,NA,2,NA,3,4,NA,4,2,NA,2,NA,NA,103
01,2018-11-06 19:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104
01,2018-11-06 23:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105
01,2018-11-07 3:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106
01,2018-11-07 7:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107
01,2018-11-07 11:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108
02,2018-10-22 11:25,4,5,NA,2,NA,4,4,NA,4,3,2,3,4,NA,4,1
02,2018-10-22 13:23,NA,3,4,NA,3.5,NA,3.5,NA,NA,2,1,1.5,NA,2,5,2
02,2018-10-22 17:23,NA,5,3,NA,3,4,3,2,NA,3,2,1,NA,2,5,3
02,2018-10-22 21:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
02,2018-10-23 1:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
02,2018-10-23 5:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
02,2018-10-23 10:00,3,NA,NA,3,2,NA,1,NA,1,3,2.5,NA,NA,3,3,7
02,2018-10-23 13:24,2,4,NA,2,3,NA,NA,NA,2.5,4,2.3333333333333335,NA,4,NA,2,8
02,2018-10-23 17:53,NA,4,3,NA,4,5,1,2,NA,4,1.5,1,NA,4,3,9
02,2018-10-23 21:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
02,2018-10-24 1:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
02,2018-10-24 5:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
02,2018-10-24 10:00,4,NA,3,3,4,NA,2.5,NA,NA,2,1.3333333333333333,NA,NA,3,4,13
02,2018-10-24 13:23,NA,5,4,NA,4,4,NA,2,1,3.5,2,NA,NA,3,4,14
02,2018-10-24 17:29,5,NA,3,3,3,NA,NA,4,4,3,1,NA,NA,2,3,15
02,2018-10-24 21:23,NA,3,3,2,NA,3,NA,3,3,4,2.5,NA,NA,3,2,16
02,2018-10-25 1:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17
02,2018-10-25 5:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18
02,2018-10-25 9:50,3,NA,3,2,NA,3,1,NA,3,3.6666666666666665,2,NA,3.5,NA,NA,19
02,2018-10-25 13:29,3,4,NA,3,2,NA,NA,3,2,3,1.5,1,3.5,NA,NA,20
02,2018-10-25 17:27,3,4,NA,NA,3,NA,2,4,NA,3,2,NA,NA,3,NA,21
02,2018-10-25 21:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22
02,2018-10-26 1:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23
02,2018-10-26 5:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24
02,2018-10-26 7:39,4,NA,NA,3,NA,4,NA,2.5,NA,2,2.5,2,4,NA,4,25
02,2018-10-26 10:00,NA,4,NA,NA,NA,3.5,2,NA,3,3,2,NA,4,3,NA,26
02,2018-10-26 13:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27
02,2018-10-26 17:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28
02,2018-10-27 1:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29
02,2018-10-27 5:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30
02,2018-10-27 9:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31
02,2018-10-27 14:33,3.5,NA,NA,3,2,NA,3,4,NA,4,1.5,2,NA,2.5,NA,32
02,2018-10-27 17:25,3,4,NA,NA,2,5,4,NA,3,2.5,1.5,NA,NA,4,NA,33
02,2018-10-27 21:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34
02,2018-10-28 1:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35
02,2018-10-28 5:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36
02,2018-10-28 12:01,NA,5,3,NA,2,3,NA,1,NA,2,2.5,2,NA,4,3,37
02,2018-10-28 13:28,NA,4.666666666666667,NA,2,NA,NA,2.5,NA,NA,3,2,2,4,2,NA,38
02,2018-10-28 17:25,NA,4.5,NA,2,NA,4,NA,NA,3,4,2.5,NA,4,NA,4,39
02,2018-10-28 21:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40
02,2018-10-29 1:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41
02,2018-10-29 5:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42
02,2018-10-29 10:03,NA,NA,3.5,3.5,NA,NA,2,NA,4,2,1,NA,NA,3,4,43
02,2018-10-29 13:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44
02,2018-10-29 17:24,2.6666666666666665,NA,NA,2.5,NA,NA,NA,4,NA,2.5,2.5,NA,3.5,NA,NA,45
02,2018-10-29 20:59,4,4,NA,2,3,NA,2,NA,3,2,1.5,2,NA,4,3,46
02,2018-10-29 21:01,3.3333333333333335,NA,NA,NA,2.5,NA,2,3,NA,2,2,2,NA,3,4,47
02,2018-10-30 1:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48
02,2018-10-30 5:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49
02,2018-10-30 10:01,3,3,NA,4,3,NA,NA,2,1,2.6666666666666665,1,NA,NA,NA,3.5,50
02,2018-10-30 13:00,3.5,NA,NA,3,NA,NA,2,3,NA,4,2,2,NA,3,4,51
02,2018-10-30 17:01,NA,4.5,NA,NA,NA,3.5,NA,2,2,3,2,2,4,2,NA,52
02,2018-10-30 21:03,NA,4.666666666666667,NA,3,4,NA,NA,3,2,4,2,1,3,NA,4,53
02,2018-10-31 1:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54
02,2018-10-31 5:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55
02,2018-10-31 9:01,NA,3,4,NA,3,NA,4,3,NA,4,1.5,1,4,4,NA,56
02,2018-10-31 13:01,4,4,NA,4,NA,4,NA,3,2,3,2.3333333333333335,NA,3,3,NA,57
02,2018-10-31 17:09,NA,5,4,3,5,NA,NA,3,4,4,2.5,NA,3,3,NA,58
02,2018-10-31 21:06,NA,NA,3,2,NA,NA,2,NA,3,4,2.5,3,NA,2,3,59
02,2018-11-01 1:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60
02,2018-11-01 5:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61
02,2018-11-01 10:01,4,NA,3,NA,NA,4,2.5,NA,NA,3.5,2,2,NA,3.5,NA,62
02,2018-11-01 13:13,3,NA,3,3,3,NA,2,2,NA,5,3,3.5,3,3,NA,63
02,2018-11-01 17:02,NA,3,3,3.5,NA,NA,NA,2,1,3.5,2,NA,3,4,NA,64
02,2018-11-01 21:02,NA,2,2,3,4,NA,NA,3,2,4,2,2.5,3,4,NA,65
02,2018-11-02 1:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66
02,2018-11-02 5:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67
02,2018-11-02 9:04,NA,4,3,4,NA,4,NA,3,4,3.5,1,2,3,4,NA,68
02,2018-11-02 13:01,NA,4,4,NA,NA,4,NA,NA,1.5,3,2,2,3.5,NA,NA,69
02,2018-11-02 17:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70
02,2018-11-02 21:03,4,NA,3,4,2,NA,2,2,NA,2.5,2,NA,3,NA,3,71
02,2018-11-03 1:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72
02,2018-11-03 5:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73
02,2018-11-03 9:03,3,3,NA,NA,2,NA,3,1,NA,2,1,2,NA,3,2,74
02,2018-11-03 13:05,4,NA,3,NA,1,4,2,2,NA,3,1,2,NA,2.5,NA,75
02,2018-11-03 17:01,3,5,NA,4,4,NA,2,NA,3,2.5,2,2,4,3,NA,76
02,2018-11-03 21:21,4,4,NA,4,NA,4,3,NA,4,2,1,2,NA,2,3,77
02,2018-11-04 1:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78
02,2018-11-04 5:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79
02,2018-11-04 10:37,3,NA,3,4,NA,NA,NA,3,2,4,2.6666666666666665,NA,3,NA,3,80
02,2018-11-04 14:02,NA,4,NA,3,2,NA,2.5,NA,NA,3,2,2,4,NA,4,81
02,2018-11-04 17:05,NA,5,3,3,2,NA,3,3,NA,2,2,3,NA,3,NA,82
02,2018-11-04 21:01,NA,5,3,2,NA,5,3,NA,3,3,2,NA,4,3,NA,83
02,2018-11-05 1:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84
02,2018-11-05 5:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85
02,2018-11-05 9:05,3,NA,3,2,3,NA,NA,3,4,2,2,1,NA,3,NA,86
02,2018-11-05 13:01,4,NA,4,NA,NA,4.5,1,2,NA,3,1,2,4,3,NA,87
02,2018-11-05 17:01,3,3,NA,NA,3.5,NA,NA,3,4,3,2,1,3.5,NA,NA,88
02,2018-11-05 22:43,NA,NA,3,NA,NA,4,3,NA,2,2,1,1,4,NA,3,89
02,2018-11-06 1:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90
02,2018-11-06 5:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91
03,2018-10-22 10:32,3,NA,3,4,5,NA,2.5,NA,NA,1,2,1,NA,4,1,1
03,2018-10-22 13:35,NA,3.6666666666666665,NA,NA,1.5,NA,NA,1,1,1,1,3,4,NA,3,2
03,2018-10-22 16:23,NA,NA,3,3,NA,4,NA,NA,2,4,2,1,NA,4,2,3
03,2018-10-22 20:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
03,2018-10-23 0:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
03,2018-10-23 4:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
03,2018-10-23 8:31,3.3333333333333335,NA,NA,3,4,NA,3.5,NA,NA,4,2,3,3,NA,4,7
03,2018-10-23 12:24,3,NA,3,NA,5,4,4,4,NA,3,3,NA,2,NA,2,8
03,2018-10-23 16:37,2,5,NA,3,NA,2,2.5,NA,NA,3,3,2,3,NA,NA,9
03,2018-10-23 20:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
03,2018-10-24 0:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
03,2018-10-24 4:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
03,2018-10-24 10:31,5,3,NA,3,NA,4,3,NA,5,2.5,1,3,2,NA,NA,13
03,2018-10-24 14:05,NA,4,3,3,NA,3,3,NA,3,2.6666666666666665,3,NA,3,3,NA,14
03,2018-10-24 16:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15
03,2018-10-24 20:42,NA,NA,3,4,NA,4,NA,3,NA,4,3,3,NA,3,3,16
03,2018-10-25 0:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17
03,2018-10-25 4:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18
03,2018-10-25 8:55,3,3,NA,4,NA,3,4,4,NA,1,2,NA,NA,3,4,19
03,2018-10-25 15:28,NA,3,3,3,NA,3,3,NA,3,3,3,3,NA,3,3,20
03,2018-10-25 16:26,3,NA,3,2,1,NA,3,NA,3,2.5,3,3,3,4,NA,21
03,2018-10-25 20:25,3,NA,3,2,NA,3,NA,3,2,4,3,NA,NA,NA,3,22
03,2018-10-26 0:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23
03,2018-10-26 4:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24
03,2018-10-26 9:54,3,3,NA,NA,5,3,3,NA,NA,2.5,3,2,NA,NA,3.5,25
03,2018-10-26 12:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26
03,2018-10-26 16:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27
03,2018-10-26 20:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28
03,2018-10-27 0:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29
03,2018-10-27 4:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30
03,2018-10-27 8:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31
03,2018-10-27 14:16,3,3,NA,3,NA,NA,NA,NA,1.5,2,4,NA,3,2,NA,32
03,2018-10-27 17:54,NA,3,2,NA,NA,2.5,NA,1,2,3,4,3,2,3,NA,33
03,2018-10-27 20:53,3,4,NA,NA,4,4,3,NA,2,2,4.5,2,3,NA,NA,34
03,2018-10-28 0:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35
03,2018-10-28 4:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36
03,2018-10-28 8:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37
03,2018-10-28 12:26,3,4,NA,3.5,NA,NA,3,3,NA,3,4,2,2.5,NA,NA,38
03,2018-10-28 12:28,3,4,NA,4,2,NA,2,3,NA,2.5,4,NA,2,NA,2,39
03,2018-10-28 14:51,NA,3,3,NA,NA,3,2,2,NA,2,4,2,2,3,NA,40
03,2018-10-28 17:16,4,4,NA,3,NA,4,NA,2,NA,3,3.5,2,2,NA,2,41
